# Fibonacci Training Dataset (75%)
14,15,29,44,73,117,190,307,497
6,10,16,26,42,68,110,178,288
20,8,28,36,64,100,164,264,428
11,18,29,47,76,123,199,322,521
12,20,32,52,84,136,220,356,576
19,20,39,59,98,157,255,412,667
18,14,32,46,78,124,202,326,528
6,1,7,8,15,23,38,61,99
3,7,10,17,27,44,71,115,186
2,19,21,40,61,101,162,263,425
1,16,17,33,50,83,133,216,349
20,13,33,46,79,125,204,329,533
5,13,18,31,49,80,129,209,338
12,11,23,34,57,91,148,239,387
8,6,14,20,34,54,88,142,230
9,2,11,13,24,37,61,98,159
13,16,29,45,74,119,193,312,505
11,13,24,37,61,98,159,257,416
7,11,18,29,47,76,123,199,322
8,10,18,28,46,74,120,194,314
3,4,7,11,18,29,47,76,123
17,19,36,55,91,146,237,383,620
18,12,30,42,72,114,186,300,486
14,2,16,18,34,52,86,138,224
19,2,21,23,44,67,111,178,289
20,19,39,58,97,155,252,407,659
13,16,29,45,74,119,193,312,505
3,14,17,31,48,79,127,206,333
1,3,4,7,11,18,29,47,76
5,2,7,9,16,25,41,66,107
17,19,36,55,91,146,237,383,620
8,14,22,36,58,94,152,246,398
20,5,25,30,55,85,140,225,365
13,11,24,35,59,94,153,247,400
12,14,26,40,66,106,172,278,450
19,2,21,23,44,67,111,178,289
1,6,7,13,20,33,53,86,139
16,20,36,56,92,148,240,388,628
1,16,17,33,50,83,133,216,349
19,1,20,21,41,62,103,165,268
3,16,19,35,54,89,143,232,375
8,8,16,24,40,64,104,168,272
6,7,13,20,33,53,86,139,225
1,7,8,15,23,38,61,99,160
17,5,22,27,49,76,125,201,326
11,15,26,41,67,108,175,283,458
8,11,19,30,49,79,128,207,335
15,3,18,21,39,60,99,159,258
15,13,28,41,69,110,179,289,468
8,3,11,14,25,39,64,103,167
20,16,36,52,88,140,228,368,596
7,12,19,31,50,81,131,212,343
2,17,19,36,55,91,146,237,383
5,12,17,29,46,75,121,196,317
6,10,16,26,42,68,110,178,288
1,12,13,25,38,63,101,164,265
8,16,24,40,64,104,168,272,440
14,11,25,36,61,97,158,255,413
