# 1000 Random Fibonacci Sequences (length 9)
# Each sequence starts with two random numbers between 1 and 20

14,14,28,42,70,112,182,294,476
5,18,23,41,64,105,169,274,443
15,17,32,49,81,130,211,341,552
14,15,29,44,73,117,190,307,497
19,16,35,51,86,137,223,360,583
2,19,21,40,61,101,162,263,425
12,3,15,18,33,51,84,135,219
15,13,28,41,69,110,179,289,468
4,13,17,30,47,77,124,201,325
20,19,39,58,97,155,252,407,659
14,12,26,38,64,102,166,268,434
11,11,22,33,55,88,143,231,374
16,5,21,26,47,73,120,193,313
13,1,14,15,29,44,73,117,190
5,16,21,37,58,95,153,248,401
15,6,21,27,48,75,123,198,321
8,16,24,40,64,104,168,272,440
14,1,15,16,31,47,78,125,203
6,18,24,42,66,108,174,282,456
20,20,40,60,100,160,260,420,680
18,4,22,26,48,74,122,196,318
9,6,15,21,36,57,93,150,243
3,16,19,35,54,89,143,232,375
11,19,30,49,79,128,207,335,542
19,20,39,59,98,157,255,412,667
11,9,20,29,49,78,127,205,332
6,18,24,42,66,108,174,282,456
2,3,5,8,13,21,34,55,89
12,19,31,50,81,131,212,343,555
12,3,15,18,33,51,84,135,219
18,6,24,30,54,84,138,222,360
19,12,31,43,74,117,191,308,499
14,1,15,16,31,47,78,125,203
13,14,27,41,68,109,177,286,463
8,7,15,22,37,59,96,155,251
20,1,21,22,43,65,108,173,281
7,15,22,37,59,96,155,251,406
15,11,26,37,63,100,163,263,426
5,17,22,39,61,100,161,261,422
5,15,20,35,55,90,145,235,380
15,4,19,23,42,65,107,172,279
14,9,23,32,55,87,142,229,371
10,5,15,20,35,55,90,145,235
4,12,16,28,44,72,116,188,304
14,1,15,16,31,47,78,125,203
9,1,10,11,21,32,53,85,138
13,6,19,25,44,69,113,182,295
13,14,27,41,68,109,177,286,463
19,10,29,39,68,107,175,282,457
11,12,23,35,58,93,151,244,395
1,17,18,35,53,88,141,229,370
13,8,21,29,50,79,129,208,337
6,15,21,36,57,93,150,243,393
5,7,12,19,31,50,81,131,212
6,19,25,44,69,113,182,295,477
5,8,13,21,34,55,89,144,233
9,15,24,39,63,102,165,267,432
19,5,24,29,53,82,135,217,352
18,7,25,32,57,89,146,235,381
19,6,25,31,56,87,143,230,373
16,14,30,44,74,118,192,310,502
2,19,21,40,61,101,162,263,425
18,12,30,42,72,114,186,300,486
